Date,year,MonthName,MonthNo,Day,DayName,DayNo
2017-09-15 00:00:00,2017,September,9,15,Friday,6
2017-09-22 00:00:00,2017,September,9,22,Friday,6
2017-09-29 00:00:00,2017,September,9,29,Friday,6
2018-09-07 00:00:00,2018,September,9,7,Friday,6
2018-09-14 00:00:00,2018,September,9,14,Friday,6
2018-09-21 00:00:00,2018,September,9,21,Friday,6
2018-09-28 00:00:00,2018,September,9,28,Friday,6
2019-09-06 00:00:00,2019,September,9,6,Friday,6
2019-09-13 00:00:00,2019,September,9,13,Friday,6
2019-09-20 00:00:00,2019,September,9,20,Friday,6
2019-09-27 00:00:00,2019,September,9,27,Friday,6
2017-04-03 00:00:00,2017,April,4,3,Monday,2
2017-04-10 00:00:00,2017,April,4,10,Monday,2
2017-04-17 00:00:00,2017,April,4,17,Monday,2
2017-04-24 00:00:00,2017,April,4,24,Monday,2
2018-04-02 00:00:00,2018,April,4,2,Monday,2
2018-04-09 00:00:00,2018,April,4,9,Monday,2
2018-04-16 00:00:00,2018,April,4,16,Monday,2
2018-04-23 00:00:00,2018,April,4,23,Monday,2
2018-04-30 00:00:00,2018,April,4,30,Monday,2
2019-04-01 00:00:00,2019,April,4,1,Monday,2
2019-04-08 00:00:00,2019,April,4,8,Monday,2
2019-04-15 00:00:00,2019,April,4,15,Monday,2
2019-04-22 00:00:00,2019,April,4,22,Monday,2
2019-04-29 00:00:00,2019,April,4,29,Monday,2
2017-08-07 00:00:00,2017,August,8,7,Monday,2
2017-08-14 00:00:00,2017,August,8,14,Monday,2
2017-08-21 00:00:00,2017,August,8,21,Monday,2
2017-08-28 00:00:00,2017,August,8,28,Monday,2
2018-08-06 00:00:00,2018,August,8,6,Monday,2
2018-08-13 00:00:00,2018,August,8,13,Monday,2
2018-08-20 00:00:00,2018,August,8,20,Monday,2
2018-08-27 00:00:00,2018,August,8,27,Monday,2
2019-08-05 00:00:00,2019,August,8,5,Monday,2
